STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,01.1.2023,0.26,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,02.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,03.1.2023,0.04,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,04.1.2023,0.40,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,05.1.2023,0.02,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,06.1.2023,0.01,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,07.1.2023,0.32,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,08.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,09.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,10.1.2023,0.02,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,11.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,12.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,13.1.2023,0.21,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,14.1.2023,0.06,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,15.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,17.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,18.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,19.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,20.1.2023,0.79,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,21.1.2023,0.04,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,22.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,23.1.2023,0.50,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,24.1.2023,0.21,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,25.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,26.1.2023,0.39,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,27.1.2023,0.78,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,28.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,29.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,30.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,31.1.2023,0.00,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,01.2.2023,0.07,,,,,
US1NJHD0018,"KEARNY 1.7 NNW, NJ US",40774342,-74137109,25.6,02.2.2023,0.02,,,,,
